timestamp, arbitration id, extended, remote, error, dlc, data
1521401112.730215,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.731264,0xc,1,0,0,7,EwISARIiXA==
1521401112.735432,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.736499,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.737631,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.738678,0xc,1,0,0,7,EwISARIiXA==
1521401112.741206,0x80,0,0,0,4,BhUAnw==
1521401112.742167,0x82,0,0,0,8,ABMSAAAUAMM=
1521401112.743196,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.744261,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.745416,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.746056,0x81,0,0,0,4,ExIAqg==
1521401112.747092,0xc,1,0,0,7,EwISARIiXA==
1521401112.750352,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.751408,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.752543,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.753584,0xc,1,0,0,7,EwISARIiXA==
1521401112.757807,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.75887,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.760006,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.761045,0xc,1,0,0,7,EwISARIiXA==
1521401112.766422,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.76749,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.76862,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.769659,0xc,1,0,0,7,EwISARIiXA==
1521401112.772924,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.773987,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.77513,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.776178,0xc,1,0,0,7,EwISARIiXA==
1521401112.780185,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.781249,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.782392,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.783432,0xc,1,0,0,7,EwISARIiXA==
1521401112.787641,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.788703,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.789841,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.790879,0xc,1,0,0,7,EwISARIiXA==
1521401112.795102,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.796167,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.797301,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.798357,0xc,1,0,0,7,EwISARIiXA==
1521401112.802605,0x10,1,0,0,7,jz+OowcB3A==
1521401112.803677,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.804826,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.805861,0xc,1,0,0,7,EwISARIiXA==
1521401112.810065,0x10,1,0,0,7,jz+OowcB3A==
1521401112.811113,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.812248,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.813293,0xc,1,0,0,7,EwISARIiXA==
1521401112.817523,0x10,1,0,0,7,jz+OowcB3A==
1521401112.818583,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.819714,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.820757,0xc,1,0,0,7,EwISARIiXA==
1521401112.824964,0x10,1,0,0,7,jz+OowcB3A==
1521401112.826031,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.827166,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.828199,0xc,1,0,0,7,EwISARIiXA==
1521401112.832424,0x10,1,0,0,7,jz+OowcB3A==
1521401112.833486,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.834621,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.835663,0xc,1,0,0,7,EwISARIiXA==
1521401112.839909,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.840964,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.842095,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.843136,0xc,1,0,0,7,EwISARIiXA==
1521401112.847327,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.848298,0x82,0,0,0,8,ABQSAAAUAMQ=
1521401112.849359,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.850023,0x81,0,0,0,4,FBIAqw==
1521401112.851164,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.851831,0x80,0,0,0,4,BRIAmw==
1521401112.852865,0xc,1,0,0,7,EwISARIiXA==
1521401112.854782,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.855847,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.856983,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.85802,0xc,1,0,0,7,EwISARIiXA==
1521401112.862237,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.863301,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.864432,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.865473,0xc,1,0,0,7,EwISARIiXA==
1521401112.869695,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.870759,0xd,1,0,0,7,AAAFAjIWTw==
